,key_id,referee_id,family_name,given_name,female,country_name,confederation_id,confederation_name,confederation_code,referee_wikipedia_link
262,263,R-263,Maidin,Shamsul,0,Singapore,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Shamsul_Maidin
263,264,R-264,Maillet,Eddy,0,Seychelles,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Eddy_Maillet
264,265,R-265,Makkelie,Danny,0,Netherlands,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Danny_Makkelie
265,266,R-266,Maksimović,Dušan,0,Yugoslavia,CF-6,Union of European Football Associations,UEFA,not available
266,267,R-267,Malcher,Alberto,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,not available
267,268,R-268,Mane,Saad,0,Kuwait,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Saad_Mane
268,269,R-269,Marciniak,Szymon,0,Poland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Szymon_Marciniak
269,270,R-270,Marino,Esteban,0,Uruguay,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Esteban_Marino
270,271,R-271,Marques,Armando,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,not available
271,272,R-272,Márquez Ramírez,Antonio,0,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Antonio_M%C3%A1rquez_Ram%C3%ADrez
272,273,R-273,Marrufo,Jair,0,United States,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Jair_Marrufo
273,274,R-274,Marschall,Ferdinand,0,Austria,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Ferdinand_Marschall
274,275,R-275,Marsiglia,Renato,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Renato_Marsiglia
275,276,R-276,Martínez,Ángel Franco,0,Spain,CF-6,Union of European Football Associations,UEFA,not available
276,277,R-277,Martínez,Yeimy,1,Colombia,CF-4,South American Football Confederation,CONMEBOL,not available
277,278,R-278,Martínez Bazán,José Luis,0,Uruguay,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Mart%C3%ADnez_Baz%C3%A1n
278,279,R-279,Mateu Lahoz,Antonio,0,Spain,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Antonio_Mateu_Lahoz
279,280,R-280,Mateucci,Francisco,0,Uruguay,CF-4,South American Football Confederation,CONMEBOL,not available
280,281,R-281,Mathabela,Petros,0,South Africa,CF-2,Confederation of African Football,CAF,not available
281,282,R-282,Matonte,Andrés,0,Uruguay,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Andrés_Matonte
282,283,R-283,Matovinović,Damir,0,Yugoslavia,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Damir_Matovinovi%C4%87
283,284,R-284,Mattea,Francesco,0,Italy,CF-6,Union of European Football Associations,UEFA,not available
284,285,R-285,Mattus,William,0,Costa Rica,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/William_Mattus
285,286,R-286,Mauro,Vincent,0,United States,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,not available
286,287,R-287,Mažić,Milorad,0,Serbia,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Milorad_Ma%C5%BEi%C4%87
287,288,R-288,McCabe,George,0,England,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/George_McCabe
288,289,R-289,McCluskey,Jim,0,Scotland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jim_McCluskey
289,290,R-290,McLeod,Ian,0,South Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Ian_McLeod_(referee)
290,291,R-291,Medina Cantalejo,Luis,0,Spain,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Luis_Medina_Cantalejo
291,292,R-292,Meier,Urs,0,Switzerland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Urs_Meier
292,293,R-293,Melksham,Jacqui,1,Australia,CF-1,Asian Football Confederation,AFC,not available
293,294,R-294,Melo Pereira,Vítor,0,Portugal,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/V%C3%ADtor_Melo_Pereira
294,295,R-295,Méndez,Rómulo,0,Guatemala,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/R%C3%B3mulo_M%C3%A9ndez
295,296,R-296,Mercet,René,0,Switzerland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Ren%C3%A9_Mercet
296,297,R-297,Merk,Markus,0,Germany,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Markus_Merk
297,298,R-298,Micheľ,Ľuboš,0,Slovakia,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/%C4%BDubo%C5%A1_Miche%C4%BE
298,299,R-299,Mikkelsen,Peter,0,Denmark,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Peter_Mikkelsen_(referee)
299,300,R-300,Mitchell,George,0,Scotland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/George_Mitchell_(referee)
300,301,R-301,Mitsi,Efthalia,1,Greece,CF-6,Union of European Football Associations,UEFA,not available
301,302,R-302,Moffat,Malcolm,0,Northern Ireland,CF-6,Union of European Football Associations,UEFA,not available
302,303,R-303,Monzul,Kateryna,1,Ukraine,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Kateryna_Monzul
303,304,R-304,Moreno,Byron,0,Ecuador,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Byron_Moreno
304,305,R-305,Mottram,Leslie,0,Scotland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Leslie_Mottram
305,306,R-306,Mowat,Jack,0,Scotland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jack_Mowat
306,307,R-307,Mukansanga,Salima,1,Rwanda,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Salima_Mukansanga
307,308,R-308,Mustafa Kamel,Mahmoud,0,Egypt,CF-2,Confederation of African Football,CAF,not available
308,309,R-309,N'Diaye,Youssou,0,Senegal,CF-2,Confederation of African Football,CAF,not available
309,310,R-310,N'Doye,Falla,0,Senegal,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Falla_N%27Doye
310,311,R-311,Namdar,Jafar,0,Iran,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Jafar_Namdar
311,312,R-312,Neguel,Thérèse,1,Cameroon,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Th%C3%A9r%C3%A8se_Neguel
312,313,R-313,Németh,Lajos,0,Hungary,CF-6,Union of European Football Associations,UEFA,not available
313,314,R-314,Nielsen,Gitte,1,Denmark,CF-6,Union of European Football Associations,UEFA,not available
314,315,R-315,Nielsen,Kim Milton,0,Denmark,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Kim_Milton_Nielsen
315,316,R-316,Nikakis,Vassilios,0,Greece,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Vassilios_Nikakis
316,317,R-317,Nishimura,Yuichi,0,Japan,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Yuichi_Nishimura
317,318,R-318,Niu,Huijun,1,China,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Niu_Huijun
