team_code
WAL
GHA
CAN
USA
BEL
AUS
MAR
CMR
PRT
CRI
MEX
ARG
QAT
NLD
BRA
POL
DNK
CHE
FRA
JPN
SAU
SEN
ECU
ENG
IRN
