team_code
DNK
MEX
KOR
JPN
ENG
QAT
ESP
ECU
USA
SAU
AUS
GHA
CAN
IRN
CRI
URY
CHE
HRV
FRA
PRT
ARG
DEU
QAT
CMR
POL
